id,user_id,feeds_id,comment,media,hide_post,status,created_on
6,488287,28,Comment- 1,,,1,2022-05-19
12,192277,58,Wonderful,,,1,2022-05-20
13,554528,322,Hi,,,1,2022-05-20
14,554528,69,HFL,,,1,2022-05-20
16,543236,102,"You’ll find a Z (Arizona), a J (New Jersey), and even two X’s (New Mexico and Texas)—but not a single Q.",,,1,2022-05-21
17,554528,77,Test Comment,,,1,2022-05-21
18,192277,116,Test,,,1,2022-05-23
19,552435,121,World Turtle Day,,,1,2022-05-23
20,553770,75,Super,,,1,2022-05-23
23,553770,108,Test,,,1,2022-05-23
37,320065,121,Test comment,,,1,2022-05-23
41,488309,167,New comment,,,1,2022-05-24
42,488309,172,New comment -1,,,1,2022-05-24
43,488309,172,New comment,,,1,2022-05-24
44,488309,172,Comment new,,,1,2022-05-24
45,488309,173,Comment test 123,,,1,2022-05-24
46,488309,173,Test reply,,,1,2022-05-24
47,488309,176,New comment,,,1,2022-05-24
48,442208,192,Good to see the feeds,,,1,2022-05-24
49,442208,191,national conference,,,1,2022-05-24
